run_date,lead_id,hotel_name,city,hotel_type_or_segment,website,instagram,phone,email,email_source_url,website_source_url,phone_source_url,confidence_score,short_note,validation_notes
2026-06-14,hotel-20260614-2059-001,Akra Antalya,Antalya,City resort / upscale foreign-tourist hotel,https://www.akrahotels.com/en/akra-antalya/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,96,"Antalya foreign-tourist-facing upscale hotel; strong fit for eSIM QR/voucher at reception and guest communications.","Official Akra contact page confirms Akra Antalya as hotel-only business and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-002,Akra V,Antalya,Urban hotel / Akra sub-brand accommodation,https://www.akrahotels.com/en/akra-v/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,92,"Antalya city accommodation under Akra brand; suitable for tourist internet upsell via front desk and pre-arrival message.","Official Akra contact page confirms Akra V as hotel-only business and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-003,Akra Kemer,Antalya / Kemer,Resort hotel,https://www.akrahotels.com/en/akra-kemer/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,97,"Kemer resort hotel with heavy foreign tourist flow; high-value reception/guest-experience channel.","Official Akra contact page confirms Akra Kemer as hotel-only business and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-004,Akra Sorgun,Antalya / Manavgat,Resort hotel,https://www.akrahotels.com/en/akra-sorgun/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,97,"Manavgat/Sorgun resort hotel; strong family and foreign-tourist fit for eSIM add-on.","Official Akra contact page confirms Akra Sorgun as hotel-only business and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-005,Akra Fethiye,Muğla / Fethiye,Resort hotel,https://www.akrahotels.com/en/akra-fethiye/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,97,"Fethiye tourist resort; clear fit for pre-arrival WhatsApp/email voucher and reception QR flow.","Official Akra contact page confirms Akra Fethiye as hotel-only business and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-006,Akra Fethiye The Residence,Muğla / Fethiye,Premium residence-style hotel accommodation,https://www.akrahotels.com/en/akra-fethiye-the-residence/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,95,"Premium Fethiye accommodation under hotel brand; likely higher-spend foreign guest profile.","Official Akra contact page confirms Akra Fethiye The Residence as hotel-branded accommodation and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-007,Akra Didim,Aydın / Didim,Resort hotel,https://www.akrahotels.com/en/akra-didim/,https://www.instagram.com/akrahotels/,,,,https://www.akrahotels.com/en/contact/,,94,"Didim resort hotel; relevant coastal foreign-tourist audience, useful for guest-experience partnership pitch.","Official Akra contact page confirms Akra Didim as hotel-only business and lists contact details; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-008,ibis Adana,Adana,Business/city hotel,https://all.accor.com/hotel/8028/index.en.shtml,,,,,https://all.accor.com/hotel/8028/index.en.shtml,,88,"Not first-priority city, but confirmed international hotel brand with foreign/business traveler flow.","Official Accor hotel page confirms ibis Adana name, address and contact area; direct email/phone intentionally not committed due connector safety block."
2026-06-14,hotel-20260614-2059-009,Hilton Istanbul Bosphorus,Istanbul,Five-star international chain hotel,https://www.hilton.com/en/hotels/isthitw-hilton-istanbul-bosphorus/,,,,,https://en.wikipedia.org/wiki/Hilton_Istanbul_Bosphorus,,82,"Iconic Istanbul five-star hotel; excellent foreign-tourist-facing profile, contact via official Hilton page.","Retrieved source confirms hotel identity, Istanbul location and official Hilton website. No prior output found in target repo search."
2026-06-14,hotel-20260614-2059-010,Swissôtel The Bosphorus Istanbul,Istanbul,Luxury international chain hotel,https://www.swissotel.com/hotels/istanbul/,,,,,https://en.wikipedia.org/wiki/Swiss%C3%B4tel_The_Bosphorus,,84,"Luxury Bosphorus hotel with foreign-tourist and premium business traveler audience; contact via official website.","Retrieved source confirms hotel identity, Istanbul location, operator and official website. No prior output found in target repo search."
